taxonKey,kingdom,phylum,class,order,family,genus,species
8365367,Plantae,Tracheophyta,Magnoliopsida,Laurales,Monimiaceae,Mollinedia,Mollinedia viridiflora
3075397,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Lacistemataceae,Lacistema,Lacistema aggregatum
2932389,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum torvum
3061128,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,Manihot aesculifolia
5290052,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Zea,Zea mays
2703456,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oryza,Oryza latifolia
2932417,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum longiconicum
2929212,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum hirtum
5350438,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus lunatus
5350452,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris
2929028,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum volubile
2932944,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum
2929778,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum velutinum
2874484,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Carica papaya
3086364,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper umbellatum
9478958,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum splendens
4179624,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea povedae
11131242,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum rugulosum
11043125,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper jacquemontianum
3060998,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,Manihot esculenta
2982409,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna vexillata
3086352,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper auritum
3152661,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium hirsutum
2931492,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum jamaicense
2930222,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum americanum
7262862,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus popenoei
8107355,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper grande
3086325,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper marginatum
